project_id,label,close_rate,close_time
3,"No Label",0.5435,74.0600
6,Multi,0.7329,138.9447
19,Multi,0.8531,133.8238
34,Multi,0.8135,220.3346
37,Multi,0.9567,126.5612
55,Multi,0.5995,71.3672
74,Multi,0.9369,110.9585
92,Multi,0.8044,111.9725
100,"No Label",0.9575,153.9754
114,Multi,0.9088,129.0398
118,Multi,0.7624,87.1404
129,Multi,0.5556,67.9000
147,Multi,0.9047,30.6989
157,Multi,0.8603,87.1857
168,Multi,0.8982,222.9391
176,Multi,0.9108,43.9954
185,Multi,0.9256,53.7941
205,Multi,0.9802,137.2972
231,Multi,0.9785,261.5659
250,Multi,0.9984,48.9580
252,Multi,0.6401,119.0639
274,Multi,0.8145,201.9231
280,Multi,0.3550,183.5699
310,Multi,0.8222,106.1963
334,Multi,0.7390,95.7745
340,Multi,0.9266,72.7037
359,"No Label",0.7979,55.8044
367,Multi,0.8620,44.8760
382,Multi,0.5277,74.4516
384,Multi,0.7527,159.5644
390,Multi,0.9291,38.5500
392,Multi,0.7387,65.5272
411,Multi,0.8989,62.0191
418,Multi,0.8059,325.8806
422,Single,0.9283,68.8455
431,Multi,0.9784,55.0235
434,Multi,0.9427,118.6287
489,Multi,0.9015,101.3219
496,Multi,0.9191,159.2390
503,Multi,0.5906,81.0530
519,Multi,0.8168,62.5757
528,Multi,0.9873,125.8879
540,Multi,0.9552,76.9312
544,Multi,0.9048,184.2774
581,Multi,0.5864,52.5860
587,Single,0.8089,113.7774
608,Multi,0.9201,162.7554
613,Multi,0.7679,208.7615
634,Multi,0.9462,104.4480
675,Multi,0.8456,27.6921
687,Multi,0.9451,82.8182
735,Single,0.8503,49.7607
750,Multi,0.9297,107.2101
766,"No Label",0.5874,58.5893
770,Multi,0.5722,165.3570
799,Multi,0.8858,152.7141
837,Multi,0.8800,138.4000
853,Multi,0.8163,96.7325
860,Multi,0.8958,57.8488
862,Multi,0.9827,229.5606
864,Multi,0.8545,154.1132
866,Multi,0.9865,260.0342
897,Multi,0.9784,597.2912
900,Multi,0.9591,22.6987
916,Multi,0.7398,264.1489
934,Single,0.8939,167.7723
937,Multi,0.9824,1594.2646
939,Multi,0.7338,84.2525
940,Multi,0.9058,144.0124
961,Multi,0.7969,148.3227
977,Multi,0.9066,17.0776
992,"No Label",0.2442,128.1468
1036,Multi,0.9127,69.8037
1047,Multi,0.8909,88.7531
1055,Single,0.5047,62.1398
1060,Multi,0.5149,49.5202
1085,Multi,0.9889,137.8673
1091,Multi,0.9953,134.4469
1115,Single,0.8367,207.0305
1127,Multi,0.9887,142.6982
1129,Multi,0.8963,95.0679
1142,Multi,0.9341,292.8404
1165,Multi,0.8473,154.7303
1173,Multi,0.7962,157.0199
1182,Multi,0.5296,86.8403
1207,Multi,0.9595,89.2352
1282,Multi,0.9423,174.7540
1298,Multi,0.8926,168.3534
1301,Multi,0.7641,74.5437
1318,Multi,0.9925,127.7049
1334,Multi,0.9714,68.6968
1354,Multi,0.8790,56.1950
1357,Multi,0.9533,73.6735
1372,Multi,0.9006,160.3218
1381,Multi,0.5667,189.4044
1386,Multi,0.5255,296.3360
1434,Multi,0.7674,71.5051
1448,Multi,0.7771,146.3076
1465,Single,0.4917,70.3080
1486,Multi,0.8394,104.6848
1490,Multi,0.7171,210.0596
1529,Multi,0.7731,154.8299
1537,Multi,0.9421,952.9631
1540,Multi,0.8550,32.3750
1552,Multi,0.9955,15.2789
1554,Multi,0.7727,83.6143
1565,Multi,0.9819,71.6779
1568,Multi,0.9733,457.7215
