tag0,tag1,tag2,label,description,color,#open issues,#closed issues,#total issues,#count
development,development phase,design,By Design,"Deprecated - use ""Working as Intended"" or ""Design Limitation"" instead",fbca04,0,568,568,1
development,development phase,design,Design Limitation,Constraints of the existing architecture prevent this from being fixed,fbca04,254,493,747,1
development,development phase,design,Design Notes,Notes from our design meetings,bfdadc,39,191,230,1
development,development phase,design/solution,Canonical,This issue contains a lengthy and complete description of a particular problem solution or design,0,0,32,32,1
development,documentation,docs,Docs Meeting Notes,Write-ups on the meeting every two weeks on docs topics,74f7c9,3,1,4,1
development,documentation,docs,Docs,The issue relates to how you learn TypeScript,5.32E+10,100,200,300,1
development,documentation,docs,Update Docs on Next Release,Indicates that this PR affects docs,fbca04,0,26,26,1
development,development phase,experiment,Experiment,A fork with an experimental idea which might not make it into master,acd617,44,24,68,1
development,development phase,experiment,Experimentation Needed,Someone needs to try this out to see what happens,ebff56,21,5,26,1
development,development phase,experiment,typescript@experimental,Pull requests tagged with this label are automatically rebased together with master and published,e85100,1,0,1,1
development,development phase,implementation,lib update,PR modifies files in the `lib` folder,561584,7,84,91,1
development,development phase,implementation,Paths in Generated import(...)s,Poor Paths in import(...) types.,b52422,0,1,1,1
development,development phase,implementation,@types,Relates to working with .d.ts files (declaration/definition files) from DefinitelyTyped,bfd4f2,3,65,68,1
development,development phase,plan,Planning,Iteration plans and roadmapping,4770b7,3,12,15,1
development,development phase,release plan,Committed,The team has roadmapped this issue,9800,48,241,289,1
development,development phase,new release,new release,,ededed,0,0,0,1
development,version,ES Next,ES Next,New featurers for ECMAScript (a.k.a. ESNext),bfd4f2,16,35,51,1
development,version,ES6,ES6,Relates to the ES6 Spec,c7def8,24,73,97,1
development,version,ES7,ES7,Relates to the ES7 Spec,bfd4f2,0,5,5,1
development,version,ES2017,ES2017,Relates to the ES2017 Spec,c7def8,1,2,3,1
development,version,ES2018,ES2018,Relates to the ES2018 Spec,c7def8,1,1,2,1
development,version,ES2019,ES2019,Relates to the ES2019 Spec,313fa5,0,2,2,1
etc.,author,author,Author: Contributor,,F1DD35,0,0,0,1
etc.,author,author,Author: Team,,3178C6,77,842,919,1
etc.,festival,Festival,PursuitFellowship,Help wanted from Pursuit fellowship; others please avoid until Dec 19,4cc95f,32,19,51,1
feature,environment,tool,Community Tooling,This might be better handled by tooling from the community instead of built into TypeScript,bfe5cf,3,10,13,1
feature,environment,visual studio,Visual Studio,Integration with Visual Studio,007ACC,32,258,290,1
feature,environment,external,External,Relates to another program environment or user action which we cannot control.,eb6420,0,669,669,1
feature,environment,compiler,Just Throw Hindley-Milner At It,I want the type system to leverage some sort of unification-based inference,a02216,0,0,0,1
feature,functionality,compilation,Domain: --incremental,The issue relates to incremental compilation,42d182,3,8,11,1
feature,functionality,auto-import,Domain: Auto-import,,61a8f4,11,17,28,1
feature,functionality,big unions,Domain: Big Unions,The root cause is ultimately that big unions interact poorly with complex structures,a17bf2,3,3,6,1
feature,functionality,compilation,Domain: Comment Emit,The issue relates to the emission of comments when compiling,148A14,14,15,29,1
feature,functionality,editor,Domain: Completion Lists,The issue relates to showing completion lists in an editor,006b75,72,153,225,1
feature,functionality,types,Domain: Conditional Types,The issue relates to conditional types,f9a2f4,16,19,35,1
feature,functionality,types,Domain: Contextual Types,The issue relates to contextual types,8958c9,6,15,21,1
